Benchmark,JAX PSO,Pure PSO,Vectorized PSO
Ackley,0.1049666404724121,0.3855461776256561,0.3451617956161499
Alpine,0.0877548679709434,0.3430714905261993,0.2454479485750198
Griewank,0.0904256701469421,0.385438859462738,0.356762021780014
Rastrigin,0.0823853090405464,0.3632132709026336,0.2697719037532806
Rosenbrock,0.0885349959135055,0.3596409559249878,0.3217415809631347
Salomon,0.0931529998779296,0.3309385776519775,0.1886782199144363
Schwefel,0.0838075652718544,0.3482975959777832,0.2058586329221725
Sphere,0.0826250538229942,0.317362904548645,0.1405422985553741
Styblinski-Tang,0.0883187279105186,0.3583023250102997,0.3104667663574219
