Benchmark,JAX PSO,Pure PSO,Vectorized PSO
Ackley,0.2591596245765686,0.1245612278580665,0.321612000465393
Alpine,0.0887368321418762,0.1033545285463333,0.2256922572851181
Griewank,0.0908161997795105,0.1212459206581115,0.3335719406604767
Rastrigin,0.0909806936979293,0.1077724695205688,0.2600294053554535
Rosenbrock,0.0798512026667594,0.0962506160140037,0.3141516745090484
Salomon,0.0853751078248024,0.1116274371743202,0.1760499775409698
Schwefel,0.0874936878681182,0.1064466834068298,0.1947935372591018
Sphere,0.0804075971245765,0.0983264744281768,0.1468831896781921
Styblinski-Tang,0.0900254994630813,0.1070547848939895,0.3055017292499542
