Benchmark,JAX PSO,Pure PSO,Vectorized PSO
Ackley,0.12514728307724,3.5313966274261475,0.4582374095916748
Alpine,0.1453550904989242,3.536170959472656,0.3578053414821625
Griewank,0.1279018819332122,3.571403980255127,0.4769515991210937
Rastrigin,0.1333015859127044,3.3516488075256348,0.3635285794734955
Rosenbrock,0.1131230592727661,3.734440565109253,0.3829579055309295
Salomon,0.1326628178358078,3.840520858764648,0.2186034917831421
Schwefel,0.144934743642807,3.9414079189300537,0.3009751439094543
Sphere,0.1296543031930923,3.449361562728882,0.1875060647726059
Styblinski-Tang,0.1328842043876648,4.224880695343018,0.4205931723117828
