Benchmark,JAX PSO,Pure PSO,Vectorized PSO
Ackley,0.1990057677030563,0.4458346366882324,0.1312953382730484
Alpine,0.2171681374311447,0.2720022201538086,0.0921122878789901
Griewank,0.1830225586891174,0.3713612258434295,0.1106954365968704
Rastrigin,0.2126346826553344,0.2668011486530304,0.0858703181147575
