,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
10,2,Rastrigin,Vectorized PSO,"[0.10852376200000435, 0.10183996399973694, 0.17327563199978613, 0.11009439500003282, 0.10290101600003254, 0.1161867959999654, 0.12209345100018254, 0.10978203499962547, 0.140809334000096, 0.10959426299996267]",0.11951006948947906,0.02086268551647663
11,2,Rastrigin,JAX PSO,"[0.02641165800014278, 0.031326581000030274, 0.03940064500011431, 0.037242836999666906, 0.03666741999995793, 0.0399914979998357, 0.039721095000004425, 0.04154742900027486, 0.03925094700025511, 0.037238488999719266]",0.03687985613942146,0.00438457727432251
12,10,Ackley,Pure PSO,"[0.17451221800001804, 0.16280507399960698, 0.1603919079998377, 0.16857539200009342, 0.15187353100009204, 0.15516883300006157, 0.1622498970000379, 0.1572179849999884, 0.1544576890000826, 0.16220956699999078]",0.16094620525836945,0.006488387007266283
13,10,Ackley,Vectorized PSO,"[0.14267613600031837, 0.155913185999907, 0.14232299400009651, 0.13918238499991276, 0.14762745200005156, 0.14636997100024018, 0.1422013460000926, 0.15233458800003064, 0.13973449199966126, 0.14013273099999424]",0.1448495239019394,0.005358241498470306
14,10,Ackley,JAX PSO,"[0.20712666300005367, 0.2112730929998179, 0.18023163899988504, 0.18013297500010594, 0.16871278099961273, 0.17966491500010306, 0.1718169890000354, 0.17596082399995794, 0.18919486899994808, 0.18940304999978252]",0.18535177409648895,0.01345834694802761
15,10,Alpine,Pure PSO,"[0.2128812799996922, 0.14075863200014282, 0.16368402099988089, 0.16860250399986398, 0.19356574299990825, 0.10791931700032364, 0.10451323300003423, 0.10301347399990846, 0.10601422799982174, 0.14211048099969048]",0.14430630207061768,0.03767108917236328
16,10,Alpine,Vectorized PSO,"[0.1296892459999981, 0.1221786119999706, 0.1244715850002649, 0.08777522799982762, 0.07084482299978845, 0.07153273600033572, 0.06813009899997269, 0.06718357399995512, 0.06797425100012333, 0.08266922600023463]",0.08924493938684464,0.0245844554156065
17,10,Alpine,JAX PSO,"[0.16720638000015242, 0.20166782099977354, 0.200414500000079, 0.1650303649998932, 0.17963608800027941, 0.18572582099977808, 0.19452851699998064, 0.20522678499992253, 0.1993325990001722, 0.16343384699985108]",0.18622027337551117,0.015542416833341122
18,10,Griewank,Pure PSO,"[0.12692413199965813, 0.13194212100006553, 0.1248678160000054, 0.1437827580002704, 0.14780582899993533, 0.14434043899973403, 0.1347009269998125, 0.16767746200002875, 0.18470647000003737, 0.19417356600024505]",0.15009215474128723,0.022952167317271233
19,10,Griewank,Vectorized PSO,"[0.16021025400004874, 0.1497487500000716, 0.2298294980000719, 0.21494346899999073, 0.22336590499980957, 0.17249187300012636, 0.1601586439996936, 0.2042669229999774, 0.22667916999989757, 0.23036415400019905]",0.19720587134361267,0.0311213918030262
20,10,Griewank,JAX PSO,"[0.17474780400016243, 0.21067890399990574, 0.20122592999996414, 0.1957568950001587, 0.202633515999878, 0.20695308599988493, 0.1983591329999399, 0.1948894039996958, 0.1928048720001243, 0.18248041500010004]",0.19605299830436707,0.010287021286785603
21,10,Rastrigin,Pure PSO,"[0.2589779350000754, 0.2017388529998243, 0.2422233430002052, 0.21477022099998067, 0.1968000739998388, 0.21619116900001245, 0.13347168400014198, 0.11643170000024838, 0.11204848100032905, 0.11690639000016745]",0.18095599114894867,0.05308270454406738
22,10,Rastrigin,Vectorized PSO,"[0.08141775900003267, 0.08030668699984744, 0.0875798259999101, 0.1183142099998804, 0.1454349849996106, 0.13427495599989925, 0.12477582300016365, 0.12485386300022583, 0.11006324900017717, 0.09748049700010597]",0.11045018583536148,0.021700270473957062
23,10,Rastrigin,JAX PSO,"[0.19800283599988688, 0.1836314100000891, 0.18376265100005185, 0.19933620099982363, 0.2081132680000337, 0.2002886169998419, 0.1949623960003919, 0.19771745199977886, 0.1720202030001019, 0.18605049300003884]",0.19238854944705963,0.010151966474950314
24,30,Ackley,Pure PSO,"[0.5428397949999635, 0.4790109460000167, 0.6182395549999455, 0.511373962000107, 0.43758822500012684, 0.41406679300007454, 0.391625593000299, 0.33404956300000777, 0.36908656100013104, 0.36046545599992896]",0.4458346366882324,0.08615069091320038
25,30,Ackley,Vectorized PSO,"[0.1284832000001188, 0.11915336399988519, 0.17574401800038686, 0.161689111999749, 0.12582541200026753, 0.12708338800030106, 0.11781311499998992, 0.13078462300018145, 0.11588335100032054, 0.11049378100005924]",0.1312953382730484,0.019886497408151627
26,30,Ackley,JAX PSO,"[0.27153571500002727, 0.2430993159996433, 0.1891694959999768, 0.18709330100000443, 0.18370141199966383, 0.18313824599999862, 0.18226500399987344, 0.18331807699996716, 0.18252008399986153, 0.18421700899989446]",0.19900576770305634,0.029910430312156677
27,30,Alpine,Pure PSO,"[0.2502869259997169, 0.24695818200007125, 0.2535864669998773, 0.25275657199972557, 0.2460330089998024, 0.31716918600022836, 0.2612523859997964, 0.26192885699992985, 0.2834097639997708, 0.3466407649998473]",0.2720022201538086,0.032312266528606415
28,30,Alpine,Vectorized PSO,"[0.08635574600020846, 0.07699201000014, 0.07833513499963374, 0.08201157599978615, 0.082977024000229, 0.10613454599979377, 0.09840707000012117, 0.10700340599987612, 0.09363615699976435, 0.10927015500010384]",0.09211228787899017,0.011797270737588406
29,30,Alpine,JAX PSO,"[0.22165632199994434, 0.32235861099979957, 0.262419809000221, 0.1884482340001341, 0.16862684599982458, 0.18273544400017272, 0.23303427399969223, 0.1753859469999952, 0.2074392109998371, 0.2095766829997956]",0.21716813743114471,0.04432760179042816
30,30,Griewank,Pure PSO,"[0.4163656370001263, 0.5182775779999247, 0.4293686800001524, 0.4456024239998442, 0.36462140399999043, 0.344440878000114, 0.30134542899986627, 0.3007354299998042, 0.3045320470000661, 0.2883225120003772]",0.37136122584342957,0.0738297700881958
31,30,Griewank,Vectorized PSO,"[0.11202942699992491, 0.1057659699999931, 0.10917514699985986, 0.10864667399982864, 0.10785341500013601, 0.11050553899985971, 0.10926678299983905, 0.12009463200001846, 0.11208830799978386, 0.11152850799999214]",0.11069543659687042,0.0036567901261150837
32,30,Griewank,JAX PSO,"[0.1841789449999851, 0.18007932799991977, 0.18140742599962323, 0.19488620299989634, 0.18083701500017924, 0.18246519300009822, 0.17894903999967937, 0.18654857299998184, 0.18118250499992428, 0.17969128899994757]",0.18302255868911743,0.004493900574743748
33,30,Rastrigin,Pure PSO,"[0.26106625100010206, 0.2570746709998275, 0.2517210510000041, 0.2699504909996904, 0.25378333200023917, 0.2483587169999737, 0.2506848220000393, 0.3177572629997485, 0.2952548289999868, 0.2623599110002033]",0.2668011486530304,0.02135416492819786
34,30,Rastrigin,Vectorized PSO,"[0.08932357100002264, 0.08211444000016854, 0.087459754000065, 0.08370199599994521, 0.08401482299996132, 0.0866378949999671, 0.08940573100016991, 0.08247258400024293, 0.08711234399970635, 0.08646000499993534]",0.08587031811475754,0.0025144696701318026
35,30,Rastrigin,JAX PSO,"[0.16778779999958715, 0.16967019300000175, 0.21170294700004888, 0.2210818560001826, 0.21658818000014435, 0.21103491800022312, 0.23882666899999094, 0.2493127679999816, 0.19292247699968357, 0.24741893700002038]",0.21263468265533447,0.027527114376425743
