,Dimension,Benchmark,Algorithm,Execution Times,Mean of Execution Times (s),Standard Deviation of Execution Times (s)
34,8,Rosenbrock,JAX PSO,"[0.6394528050004737, 0.009352067994768731, 0.00965387700125575, 0.010221866999927443, 0.009067578001122456]",0.00957384705543518,0.0004277348634786904
35,8,Sphere,JAX PSO,"[0.5977423149961396, 0.009233707998646423, 0.0075194380042376, 0.009499958003289066, 0.008649618001072668]",0.008725680410861969,0.0007613152265548706
36,16,Ackley,Python PSO,"[0.5175579170027049, 0.522849185996165, 0.5162110470046173, 0.5124945889983792, 0.5123165189943393]",0.515967845916748,0.00426638126373291
37,16,Rastrigin,Python PSO,"[0.49758928299706895, 0.5086050609970698, 0.5147717079962604, 0.5033842830016511, 0.4919389040005626]",0.504675030708313,0.008385440334677696
38,16,Rosenbrock,Python PSO,"[0.5314597359974869, 0.5368974340017303, 0.5290108059998602, 0.5261544470049557, 0.5254201679999824]",0.5293707251548767,0.0045478506945073605
39,16,Sphere,Python PSO,"[0.44255530800001, 0.4455004990013549, 0.4329005409963429, 0.43604929099819856, 0.4348109810016467]",0.43731534481048584,0.004857002757489681
40,16,Ackley,NumPy PSO,"[0.42403567399742315, 0.43015789199853316, 0.420648015999177, 0.4199567649993696, 0.4199849259966868]",0.422686904668808,0.0043222419917583466
41,16,Rastrigin,NumPy PSO,"[0.27807354199467227, 0.2760919610009296, 0.2861680089990841, 0.2749030519989901, 0.273782182004652]",0.2777363061904907,0.004936086013913155
42,16,Rosenbrock,NumPy PSO,"[0.330293408005673, 0.32906108899624087, 0.3258824500007904, 0.33232291800231906, 0.32903652899403824]",0.32907575368881226,0.0022772224619984627
43,16,Sphere,NumPy PSO,"[0.14701781300391303, 0.14028550600050949, 0.13985602500179084, 0.1406539360032184, 0.14226771499670576]",0.14076580107212067,0.0009119545575231314
44,16,Ackley,JAX PSO,"[0.6698162350003258, 0.013107857004797552, 0.01056856699869968, 0.012222498000483029, 0.01268558599986136]",0.012146126478910446,0.0009631288703531027
45,16,Rastrigin,JAX PSO,"[0.6150453299997025, 0.009653617002186365, 0.008618578001915012, 0.008908978001272772, 0.009544747998006642]",0.00918148085474968,0.00043185424874536693
46,16,Rosenbrock,JAX PSO,"[0.6594865780061809, 0.00889467800152488, 0.009284357998694759, 0.009869797999272123, 0.008700686994416174]",0.009187380783259869,0.000446554331574589
47,16,Sphere,JAX PSO,"[0.5895892769985949, 0.012192816000606399, 0.008755157999985386, 0.010081788001116365, 0.01073525699757738]",0.010441253893077374,0.0012375926598906517
48,32,Ackley,Python PSO,"[0.9756242030052817, 0.9766928229946643, 0.9697702359990217, 0.9688289559999248, 0.9678062880047946]",0.9707745909690857,0.0034867653157562017
49,32,Rastrigin,Python PSO,"[0.971032177003508, 0.9535582120006438, 0.9488765040005092, 0.9432976360039902, 0.9411772570019821]",0.9467273950576782,0.004843709524720907
50,32,Rosenbrock,Python PSO,"[1.0607013999979245, 1.0155854510012432, 1.0142486219992861, 1.0149562530059484, 1.0136185240044142]",1.0146021842956543,0.0007390568498522043
51,32,Sphere,Python PSO,"[0.8298083269983181, 0.8529564820055384, 0.8272412389997044, 0.8261201700006495, 0.8248741400020663]",0.8327980041503906,0.01166856661438942
52,32,Ackley,NumPy PSO,"[0.4374876099973335, 0.4480123169996659, 0.4372924800045439, 0.4377343500018469, 0.43803377000585897]",0.44026821851730347,0.00447882479056716
53,32,Rastrigin,NumPy PSO,"[0.29185829299967736, 0.28942613399703987, 0.28928785400057677, 0.28967196499434067, 0.28666656499990495]",0.2887631356716156,0.0012182428035885096
54,32,Rosenbrock,NumPy PSO,"[0.3342589849999058, 0.33381774399458664, 0.33530367400089744, 0.33184945499669993, 0.3299242149951169]",0.3327237665653229,0.0020282084587961435
55,32,Sphere,NumPy PSO,"[0.15500888499809662, 0.14553119700576644, 0.14540572700207122, 0.14871939700242365, 0.149941026000306]",0.14739933609962463,0.001979091437533498
56,32,Ackley,JAX PSO,"[0.66403918099968, 0.012961537002411205, 0.011761626999941655, 0.012385337002342567, 0.01195192799787037]",0.012265106663107872,0.0004612597986124456
