Benchmark,JAX PSO,NumPy PSO
Ackley,0.7874700427055359,0.5394113659858704
Rastrigin,0.6831290125846863,0.37793219089508057
Rosenbrock,0.6446337103843689,0.35821110010147095
Sphere,0.6423182487487793,0.18092454969882965
