Benchmark,JAX PSO,NumPy PSO
Ackley,0.1195304542779922,0.6151928305625916
Rastrigin,0.0900531187653541,0.279447078704834
Rosenbrock,0.0843976885080337,0.3007890880107879
Sphere,0.0779390558600425,0.146267831325531
